"","total","pacotes","custo"
"1",4885,977,3908
"2",4030,806,3224
"3",7045,1409,5636
"4",5965,1193,4772
"5",4845,969,3876
"6",4205,841,3364
"7",7035,1407,5628
"8",4630,926,3704
"9",5555,1111,4444
"10",6650,1330,5320
"11",3805,761,3044
"12",5265,1053,4212
"13",4750,950,3800
"14",4925,985,3940
"15",4085,817,3268
"16",4380,876,3504
"17",6345,1269,5076
"18",4345,869,3476
"19",2975,595,2380
"20",4065,813,3252
"21",3925,785,3140
"22",5680,1136,4544
"23",3615,723,2892
"24",3970,794,3176
"25",4800,960,3840
"26",4525,905,3620
"27",4850,970,3880
"28",4350,870,3480
"29",4400,880,3520
"30",5540,1108,4432
"31",4035,807,3228
"32",4825,965,3860
"33",4230,846,3384
"34",4215,843,3372
"35",4170,834,3336
"36",4755,951,3804
"37",7680,1536,6144
"38",4845,969,3876
"39",3620,724,2896
"40",4935,987,3948
"41",4380,876,3504
"42",5200,1040,4160
"43",5785,1157,4628
"44",4390,878,3512
"45",4510,902,3608
"46",3945,789,3156
"47",3865,773,3092
"48",4185,837,3348
"49",5825,1165,4660
"50",4705,941,3764
"51",4070,814,3256
"52",5695,1139,4556
"53",5510,1102,4408
"54",5055,1011,4044
"55",6675,1335,5340
"56",5490,1098,4392
"57",5470,1094,4376
"58",5495,1099,4396
"59",4890,978,3912
"60",4795,959,3836
"61",4780,956,3824
"62",3605,721,2884
"63",3635,727,2908
"64",4065,813,3252
"65",3940,788,3152
"66",3835,767,3068
"67",4240,848,3392
"68",4245,849,3396
"69",6040,1208,4832
"70",5410,1082,4328
"71",5075,1015,4060
"72",4500,900,3600
"73",7135,1427,5708
"74",4240,848,3392
"75",5300,1060,4240
"76",5935,1187,4748
"77",4280,856,3424
"78",4110,822,3288
"79",4560,912,3648
"80",4125,825,3300
"81",4465,893,3572
"82",4965,993,3972
"83",4785,957,3828
"84",4515,903,3612
"85",4975,995,3980
"86",4385,877,3508
"87",4410,882,3528
"88",5640,1128,4512
"89",3920,784,3136
"90",5840,1168,4672
"91",5800,1160,4640
"92",4110,822,3288
"93",4830,966,3864
"94",4315,863,3452
"95",4765,953,3812
"96",4845,969,3876
"97",5795,1159,4636
"98",4730,946,3784
"99",5120,1024,4096
"100",3870,774,3096
"101",4835,967,3868
"102",4575,915,3660
"103",4350,870,3480
"104",3580,716,2864
"105",5480,1096,4384
"106",7365,1473,5892
"107",4225,845,3380
"108",3525,705,2820
"109",4255,851,3404
"110",4410,882,3528
"111",3460,692,2768
"112",4140,828,3312
"113",4015,803,3212
"114",4080,816,3264
"115",5760,1152,4608
"116",4450,890,3560
"117",5055,1011,4044
"118",3635,727,2908
"119",5225,1045,4180
"120",3710,742,2968
"121",4020,804,3216
"122",3785,757,3028
"123",4025,805,3220
"124",6705,1341,5364
"125",6105,1221,4884
"126",4155,831,3324
"127",4105,821,3284
"128",4015,803,3212
"129",4860,972,3888
"130",4005,801,3204
"131",5125,1025,4100
"132",6435,1287,5148
"133",5355,1071,4284
"134",4150,830,3320
"135",4490,898,3592
"136",4255,851,3404
"137",5125,1025,4100
"138",5480,1096,4384
"139",4245,849,3396
"140",5490,1098,4392
"141",3780,756,3024
"142",4175,835,3340
"143",6440,1288,5152
"144",4435,887,3548
"145",5240,1048,4192
"146",5295,1059,4236
"147",3735,747,2988
"148",3570,714,2856
